experiment_kind,experiment_anchor,experiment_sweep_param,sweep_index,sweep_value,replicate_index,seed,theta,num_runs,shots,distance,gate_speed_factor,client_gate_speed_factor,entanglement_speed_factor,ent_sweep_mode,Tsrv_est_ms,Tcc_est_ms,Tent_est_ms,Tmax_est_ms,Tmin_est_ms,zz_cost,xx_cost,zz_time,xx_time,total_time,energy,sweep_low,sweep_high
anchor,light,,-1,,0,42,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282054,-0.02071937261594924,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,1,1039,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282057,-0.02071937261594924,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,2,2036,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282054,-0.02071937261594924,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,3,3033,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282057,-0.02071937261594923,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,4,4030,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282057,-0.020719372615949232,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,5,5027,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282057,-0.02071937261594923,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,6,6024,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282057,-0.020719372615949243,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,7,7021,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282054,-0.020719372615949232,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,8,8018,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282057,-0.02071937261594923,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
anchor,light,,-1,,9,9015,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282057,-0.02071937261594923,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
sweep,light,distance,0,10.0,0,10012,0.2297,10,10,10.0,0.263,1.0,2000.0,time,2.49324,0.25,2.5,5.24324,2.5,-1.8097603781282057,-0.02071937261594923,74924615.0,74960120.0,149884735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,0,10.0,1,11009,0.2297,10,10,10.0,0.263,1.0,2000.0,time,2.49324,0.25,2.5,5.24324,2.5,-1.8097603781282054,-0.020719372615949243,74924615.0,74960120.0,149884735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,0,10.0,2,12006,0.2297,10,10,10.0,0.263,1.0,2000.0,time,2.49324,0.25,2.5,5.24324,2.5,-1.8097603781282057,-0.020719372615949236,74924615.0,74960120.0,149884735.0,-1.145630955773553,10.0,10000.0
