segment_id,coherence_time,entanglement_fidelity,noise_rate,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,noise_rate_contribution,use_log_scale
1_1_1,21544346900.31878,0.002154434690031887,2.1544346900318867e-05,0.07409789951706058,0.7856052411947276,0.9870058723385131,0.9848596470692005,True
1_1_2,21544346900.31878,0.002154434690031887,0.0001000000000000001,0.07697344794593668,1.1661365211702963,0.9051375202155413,1.3242418243277383,True
1_1_3,21544346900.31878,0.002154434690031887,0.0004641588833612782,0.07614612137481276,1.0264238781986825,1.2049134341177243,1.2599398838685674,True
1_2_1,21544346900.31878,0.01000000000000001,2.1544346900318867e-05,0.07063164085549475,1.0005615556928271,0.8775669497059765,0.9833761837107455,True
1_2_2,21544346900.31878,0.01000000000000001,0.0001000000000000001,0.0749577768188665,1.0311418823508884,1.0192996574321318,1.1362849814701361,True
1_2_3,21544346900.31878,0.01000000000000001,0.0004641588833612782,0.07123585911628245,1.5054109024848101,1.3643691799876938,0.9033969190179283,True
1_3_1,21544346900.31878,0.04641588833612782,2.1544346900318867e-05,0.1490200568019307,0.5711538650262831,0.837431926298804,0.6722505121313526,True
1_3_2,21544346900.31878,0.04641588833612782,0.0001000000000000001,0.14781238173293934,0.6884333517725082,1.142396169945687,0.9805042886373145,True
1_3_3,21544346900.31878,0.04641588833612782,0.0004641588833612782,0.15701236881271838,0.9135989772171623,0.9356599789742138,0.7404224118085216,True
2_1_1,100000000000.0,0.002154434690031887,2.1544346900318867e-05,0.07970702598469749,0.9973225555720402,0.8349859563986407,1.0186741791869922,True
2_1_2,100000000000.0,0.002154434690031887,0.0001000000000000001,0.07951533635536993,0.9523185886360261,0.9686852717914621,0.8808482209453576,True
2_1_3,100000000000.0,0.002154434690031887,0.0004641588833612782,0.07905531868728155,1.014890934303178,0.7716111286084667,0.8119474940188226,True
2_2_1,100000000000.0,0.01000000000000001,2.1544346900318867e-05,0.07114853450200773,1.0374136079695107,1.3414921713707202,1.1626150857345383,True
2_2_2,100000000000.0,0.01000000000000001,0.0001000000000000001,0.0741816074761672,1.2761970906326277,1.1686795513398804,1.216017371381202,True
2_2_3,100000000000.0,0.01000000000000001,0.0004641588833612782,0.0734237949761672,1.3853613487768053,1.3448172729456411,1.1984026213008965,True
2_3_1,100000000000.0,0.04641588833612782,2.1544346900318867e-05,0.14286867967260314,0.6605065160151196,1.1364138018377279,0.5046656042077483,True
2_3_2,100000000000.0,0.04641588833612782,0.0001000000000000001,0.1456861660906915,1.0274935711136868,1.3143762516504423,0.9815639814340062,True
2_3_3,100000000000.0,0.04641588833612782,0.0004641588833612782,0.1404227276122669,0.7330970687170778,1.2520393067488553,0.7781690747471603,True
3_1_1,464158883361.2753,0.002154434690031887,2.1544346900318867e-05,0.0814093389739098,1.0078075812992964,0.9656488450463334,1.1578416145907227,True
3_1_2,464158883361.2753,0.002154434690031887,0.0001000000000000001,0.08277024735323736,1.0993271986675104,0.966985291901123,1.1914470775587152,True
3_1_3,464158883361.2753,0.002154434690031887,0.0004641588833612782,0.08143738691357358,0.710395686908672,1.1958092069067225,0.8845862717913947,True
3_2_1,464158883361.2753,0.01000000000000001,2.1544346900318867e-05,0.07349222200200774,0.9091829130648578,0.9602389300828421,1.4030649909423138,True
3_2_2,464158883361.2753,0.01000000000000001,0.0001000000000000001,0.0757920595365034,0.90850302948289,1.1126819116535307,1.2064005634604489,True
3_2_3,464158883361.2753,0.01000000000000001,0.0004641588833612782,0.07404391473908747,1.045757209577981,1.0304882472935923,1.0624011434857679,True
3_3_1,464158883361.2753,0.04641588833612782,2.1544346900318867e-05,0.13885551507777125,0.8254995639590457,0.922498589677364,0.5806822470192906,True
3_3_2,464158883361.2753,0.04641588833612782,0.0001000000000000001,0.1433335181855234,0.6792692150613029,0.8966777081662322,0.6175552039876805,True
3_3_3,464158883361.2753,0.04641588833612782,0.0004641588833612782,0.14800081039889515,0.8383908501749757,0.8679851705468709,0.6642819578338546,True
